Week,Australia,Canada,France,Germany,Israel,Italy,New Zealand,Spain,United Kingdom,United States
1,0,258,783,829,46,615,0,202,842,3878
2,0,332,514,517,24,568,0,178,1060,3698
3,0,302,403,338,36,458,0,197,883,3251
4,0,278,331,331,26,340,0,136,661,2914
5,1161,252,265,344,26,293,146,116,543,2646
6,96,226,172,455,19,282,36,103,496,2351
7,89,212,180,601,21,307,21,85,477,2104
8,90,168,170,599,26,242,8,91,476,2157
9,78,165,152,535,25,204,6,82,566,1998
10,78,161,125,572,23,220,12,97,605,1852
11,88,181,164,626,32,191,26,123,619,1764
12,93,151,172,545,22,189,76,95,703,1668
13,103,131,210,431,24,190,25,84,730,1446
14,123,147,188,278,16,144,0,86,595,1371
15,131,146,167,304,22,175,29,80,547,1220
16,146,119,282,231,25,201,0,112,615,1195
17,155,150,252,162,19,201,20,128,532,1026
18,173,141,239,167,12,210,56,98,367,949
19,173,120,160,109,7,168,0,102,353,838
20,170,0,134,85,16,128,101,100,358,758
21,213,0,149,72,7,123,49,99,282,739
22,232,0,112,55,9,102,0,98,209,693
23,226,0,106,32,8,67,96,89,230,631
24,183,0,67,30,6,69,39,65,174,612
25,59,0,68,15,3,57,0,42,174,578
26,0,0,..,8,6,34,61,11,142,541
27,0,0,..,..,6,27,21,..,109,489
28,-76,0,..,..,4,39,13,..,81,507
29,85,0,..,..,6,21,16,..,83,535
30,60,0,..,..,8,31,31,..,71,546
31,67,0,..,..,10,36,10,..,80,670
32,0,21,..,..,17,41,20,..,133,751
33,56,20,..,..,9,49,0,..,153,921
34,53,25,..,..,10,71,34,..,240,1057
35,39,50,..,..,9,86,0,..,180,1184
36,40,60,..,..,16,117,11,..,259,1308
37,38,56,..,..,10,139,15,..,290,1400
38,37,65,..,..,9,140,20,..,306,1408
39,33,77,..,..,10,143,18,..,274,1447
40,78,101,..,..,0,182,14,..,298,1381
41,45,79,..,..,1,195,15,..,407,1300
42,52,95,..,..,5,194,40,..,344,1369
43,72,92,..,..,4,160,0,..,364,1279
44,51,77,..,..,0,114,29,..,373,1229
45,0,88,..,..,0,186,19,..,370,1361
46,204,94,..,..,0,176,38,..,292,1401
47,89,84,..,..,0,23,20,..,217,1394
48,152,88,..,..,0,..,27,..,216,1671
49,114,54,..,..,0,..,20,..,212,1734
50,81,44,..,..,0,..,27,..,270,1761
51,36,36,..,..,0,..,27,..,329,1807
52,35,33,..,..,0,..,0,..,219,1980
